"","neuron_names","freq_vector","bin_edges","thresh_vals_sn1","modal_classification","skew_value"
"47","20160923_1013_BGUG_HuC_ltRFP_d7_F2","[6, 27, 37, 0, 9, 17, 19, 9]","[9.94679182600364, 25.324863283201232, 40.702934740398824, 56.081006197596416, 71.45907765479402, 86.83714911199161, 102.2152205691892, 117.59329202638679, 132.97136348358438]",63.7700419261952,"S",-1
"48","20160923_1013_BGUG_HuC_ltRFP_d7_F4","[14, 40, 29, 37, 10, 18, 11, 4, 6]","[14.864802223775847, 29.74724764346221, 44.629693063148565, 59.51213848283493, 74.39458390252129, 89.27702932220765, 104.159474741894, 119.04192016158038, 133.92436558126673, 148.8068110009531]",126.483142871424,"S",-1
"49","20160923_1013_BGUG_HuC_ltRFP_d7_F8","[76, 29, 0, 18, 0, 16, 0, 13, 18]","[23.78963840324373, 49.351880799206185, 74.91412319516863, 100.47636559113108, 126.03860798709354, 151.600850383056, 177.16309277901843, 202.7253351749809, 228.28757757094337, 253.8498199669058]",87.6952443931499,"S",-1
"50","20160927_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2","[37, 57, 11, 13, 3, 0, 0, 0, 0, 5, 2, 3, 3, 4, 8, 8]","[19.339283303254476, 32.61946230983954, 45.899641316424606, 59.17982032300967, 72.45999932959474, 85.7401783361798, 99.02035734276487, 112.30053634934994, 125.580715355935, 138.86089436252007, 152.14107336910513, 165.4212523756902, 178.70143138227525, 191.9816103888603, 205.26178939544542, 218.54196840203048, 231.8221474086155]",92.3802678394723,"S",-1
"51","20160927_1013_BGUG_HuC_ltRFP_d6_F2_Neuron3","[93, 122, 10, 8, 8, 9, 6, 22, 9, 46]","[28.982478433472334, 53.075060113018154, 77.16764179256397, 101.2602234721098, 125.35280515165562, 149.44538683120143, 173.53796851074725, 197.63055019029306, 221.72313186983888, 245.8157135493847, 269.9082952289305]",185.58425935052,"S",-1
"52","20160927_1013_BGUG_HuC_ltRFP_d6_F7","[5, 21, 22, 35, 32, 29, 15, 5, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 2, 2, 1, 2, 1, 2, 2]","[4.634324375874013, 9.962183104238452, 15.290041832602888, 20.61790056096733, 25.945759289331765, 31.273618017696204, 36.60147674606064, 41.92933547442508, 47.25719420278952, 52.58505293115396, 57.9129116595184, 63.24077038788283, 68.56862911624727, 73.89648784461171, 79.22434657297615, 84.55220530134059, 89.88006402970503, 95.20792275806946, 100.5357814864339, 105.86364021479834, 111.19149894316278, 116.51935767152722, 121.84721639989165, 127.1750751282561, 132.50293385662053, 137.83079258498495, 143.1586513133494, 148.48651004171384, 153.81436877007826, 159.1422274984427, 164.47008622680715, 169.79794495517157, 175.12580368353602, 180.45366241190047, 185.78152114026489, 191.10937986862933, 196.43723859699378]",71.2325584804295,"S",-1
"53","20160927_1013_BGUG_HuC_ltRFP_d6_F9_Neuron2","[127, 54, 35, 50, 132, 54, 51, 21, 20, 19, 109]","[15.277723732012547, 41.568752868283994, 67.85978200455544, 94.15081114082689, 120.44184027709834, 146.73286941336977, 173.02389854964122, 199.31492768591266, 225.6059568221841, 251.89698595845556, 278.188015094727, 304.47904423099845]",265.042500526591,"S",-1
"54","20160927_1013_BGUG_HuC_ltRFP_d6_F10_Neuron2","[83, 61, 13, 23, 17, 22, 3, 0, 22, 30]","[6.806703827977483, 34.24783816405552, 61.68897250013357, 89.13010683621161, 116.57124117228966, 144.0123755083677, 171.45350984444573, 198.89464418052378, 226.33577851660183, 253.77691285267989, 281.2180471887579]",212.615211348563,"S",-1
"55","20160928_1013_BGUG_HuC_ltRFP_d5_F1","[5, 19, 10, 25, 24, 24, 9, 2, 3]","[15.654844938672106, 21.62487037686546, 27.59489581505881, 33.56492125325216, 39.53494669144551, 45.504972129638865, 51.47499756783221, 57.445023006025565, 63.41504844421892, 69.38507388241227]",60.4300357251222,"S",1
"56","20160928_1013_BGUG_HuC_ltRFP_d5_F2","[58, 4, 23, 10, 8, 0, 0, 7]","[5.195276214627705, 34.53620813074112, 63.87714004685454, 93.21807196296797, 122.55900387908139, 151.8999357951948, 181.24086771130823, 210.58179962742165, 239.92273154353506]",166.570401753252,"S",-1
